seed,initial_x,reward,duration,loss
1177941530,-0.5575414896011353,-200.0,200,0.0
2109704804,-0.40362268686294556,-200.0,200,0.0
926977561,-0.577836811542511,-200.0,200,0.0
86758667,-0.5153536796569824,-200.0,200,0.0
446602626,-0.4277811348438263,-200.0,200,0.002653607428073883
263682408,-0.5067217350006104,-200.0,200,0.6517550462484359
1706728447,-0.40966320037841797,-200.0,200,0.48739484906196595
997002489,-0.5752059817314148,-200.0,200,0.3503700228780508
428286473,-0.516267716884613,-200.0,200,0.24081305161118507
2071124056,-0.44475042819976807,-200.0,200,0.1625292693823576
512226751,-0.4713117480278015,-200.0,200,0.10673246204853058
298069256,-0.461159884929657,-200.0,200,0.06527428226545454
207550275,-0.44478127360343933,-200.0,200,0.04090528085827828
699231802,-0.5171505808830261,-200.0,200,0.024690016340464353
555603962,-0.4142543375492096,-200.0,200,0.013265423360280693
411689246,-0.5519942045211792,-200.0,200,0.006965114870108664
1514645084,-0.4674675464630127,-200.0,200,0.0032255349308252333
690723780,-0.46052446961402893,-200.0,200,0.0014569056051550434
1580859271,-0.4742445945739746,-200.0,200,0.0006153812713455409
118643631,-0.4810366630554199,-200.0,200,0.000238499470106035
2074915299,-0.5157527923583984,-200.0,200,9.440253023058177e-05
1365616735,-0.5108650922775269,-200.0,200,3.994887655608181e-05
514979546,-0.573322057723999,-200.0,200,1.806079139441863e-05
147275954,-0.5835705995559692,-200.0,200,9.373916450385877e-06
425934816,-0.5069386959075928,-200.0,200,5.81115927616338e-06
2094012148,-0.5680608749389648,-200.0,200,4.019808880002529e-06
485909736,-0.5167838335037231,-200.0,200,2.9772481548206996e-06
324809751,-0.5697552561759949,-200.0,200,2.27546091991826e-06
573551451,-0.5885204076766968,-200.0,200,1.933695562001958e-06
633918070,-0.4945049285888672,-200.0,200,1.5110492904568672e-06
1396926729,-0.46127328276634216,-200.0,200,1.1798253399319946e-06
111222572,-0.41222161054611206,-200.0,200,1.0041848145192488e-06
1625838119,-0.5254446268081665,-200.0,200,7.785345724187209e-07
1531287520,-0.436676561832428,-200.0,200,6.36803092675109e-07
705832102,-0.5230462551116943,-200.0,200,5.401969883678248e-07
857455358,-0.4302942156791687,-200.0,200,4.2603440761013187e-07
210895665,-0.5661121606826782,-200.0,200,3.551739746399107e-07
1113748345,-0.5755905508995056,-200.0,200,2.9037358672212577e-07
1078231680,-0.5974511504173279,-200.0,200,2.365307773288805e-07
1483708620,-0.5245364904403687,-200.0,200,1.9568556126614566e-07
33327356,-0.4252219796180725,-200.0,200,1.67153471011261e-07
93939939,-0.5825182199478149,-200.0,200,1.348019577562809e-07
815038378,-0.4080178737640381,-200.0,200,1.0900497272814391e-07
559284631,-0.4486035108566284,-200.0,200,9.361564480059315e-08
245759663,-0.49594414234161377,-200.0,200,7.798802471370437e-08
899651046,-0.47498396039009094,-200.0,200,6.72010355629027e-08
1096732699,-0.5488777756690979,-200.0,200,5.6451126511092296e-08
199592811,-0.5088878273963928,-200.0,200,4.8742172111815306e-08
1492217472,-0.5178785920143127,-200.0,200,4.2126030166400594e-08
176978058,-0.5248672962188721,-200.0,200,3.8291200326057153e-08
1871322556,-0.42254793643951416,-200.0,200,3.368224042787915e-08
9672165,-0.5650787949562073,-200.0,200,3.201912477379665e-08
351627283,-0.4319843649864197,-200.0,200,3.113714228675235e-08
1497730906,-0.5408379435539246,-200.0,200,2.498072717571631e-08
99230569,-0.5627570152282715,-200.0,200,2.73578143605846e-08
914333542,-0.4105163812637329,-200.0,200,3.15129318551044e-08
1899570110,-0.4054981470108032,-200.0,200,2.795556611090433e-08
1901984732,-0.5498105883598328,-200.0,200,4.149085725657642e-08
135727780,-0.5836160182952881,-200.0,200,4.09285075875232e-08
302573113,-0.4337713420391083,-200.0,200,5.364674507291056e-08
2126916134,-0.42896750569343567,-200.0,200,5.9122467064298686e-08
839613371,-0.47957155108451843,-200.0,200,3.018565212187241e-07
337186085,-0.5049585103988647,-200.0,200,8.79412491030962e-06
2104974357,-0.5797487497329712,-200.0,200,9.218833392878878e-06
720613576,-0.5084887742996216,-200.0,200,6.411708045561682e-07
420259361,-0.5283495783805847,-200.0,200,4.3630358959489967e-07
640693463,-0.5836525559425354,-200.0,200,1.8049456830340205e-05
