seed,initial_x,env_reward,other_reward,reward,duration,loss,loss_RND
1177941530,-0.5575414896011353,-200.0,0.0,-200.0,200,0.0,0.0
2109704804,-0.40362268686294556,-200.0,0.0,-200.0,200,0.0,0.0
926977561,-0.577836811542511,-200.0,0.0,-200.0,200,0.0,0.0
86758667,-0.5153536796569824,-200.0,0.0,-200.0,200,0.0,0.0
446602626,-0.4277811348438263,-200.0,0.0,-200.0,200,0.002653607428073883,1.0413575218990444e-05
263682408,-0.5067217350006104,-200.0,-119.74427735847527,-319.74427735847536,200,0.6682044729590416,0.00012853835178532335
1706728447,-0.40966320037841797,-200.0,-49.478881855736745,-249.47888185573677,200,0.5193268029391765,7.409476209829791e-07
997002489,-0.5752059817314148,-200.0,-111.08711107925481,-311.0871110792549,200,0.385025879740715,5.29434809308782e-07
428286473,-0.516267716884613,-200.0,-97.90147398479941,-297.9014739847996,200,0.2749273765832186,3.1202476840519467e-07
2071124056,-0.44475042819976807,-200.0,-85.09690870897494,-285.09690870897515,200,0.19281683951616288,2.595720479803276e-07
512226751,-0.4713117480278015,-200.0,-92.25877726873868,-292.25877726873875,200,0.13358705393970013,1.9590554288129168e-07
298069256,-0.461159884929657,-200.0,-88.98166313684726,-288.98166313684743,200,0.08766301356256008,1.8014482678907483e-07
207550275,-0.44478127360343933,-200.0,-64.41918732327166,-264.41918732327144,200,0.05776187814772129,1.4067556763031065e-07
699231802,-0.5171505808830261,-200.0,-83.7261707500997,-283.7261707500998,200,0.03796851038001478,1.3533789519293294e-07
555603962,-0.4142543375492096,-200.0,-64.05767479176254,-264.0576747917625,200,0.023413063087500633,1.0983861495006409e-07
411689246,-0.5519942045211792,-200.0,-77.11794267608619,-277.1179426760862,200,0.014388445881195366,9.152541670331971e-08
1514645084,-0.4674675464630127,-200.0,-81.69543061259485,-281.6954306125951,200,0.008855195450596511,8.496992987439e-08
690723780,-0.46052446961402893,-200.0,-79.91501106951777,-279.91501106951756,200,0.005769598116166889,7.478148020823027e-08
1580859271,-0.4742445945739746,-200.0,-64.32557063010735,-264.3255706301073,200,0.004409175341716036,7.970785651512102e-08
118643631,-0.4810366630554199,-200.0,-71.09444358986657,-271.0944435898665,200,0.0033246520394459365,7.226025797280044e-08
2074915299,-0.5157527923583984,-200.0,-43.82939557183546,-243.82939557183533,200,0.0030999520816840233,5.197216049968034e-08
1365616735,-0.5108650922775269,-200.0,-11.285261906562294,-211.28526190656225,200,0.003025680836290121,8.085361592247154e-08
514979546,-0.573322057723999,-200.0,-65.74364206807724,-265.7436420680774,200,0.0037700035679154096,9.885473135184952e-08
147275954,-0.5835705995559692,-200.0,-70.38457265953667,-270.38457265953673,200,0.0036178644583560525,6.607460334873138e-08
425934816,-0.5069386959075928,-200.0,-66.58281955382166,-266.5828195538216,200,0.0033432381955208258,1.1478075818027733e-07
2094012148,-0.5680608749389648,-200.0,-47.61894826971985,-247.61894826971994,200,0.0031942901300499216,1.7978650671324203e-07
485909736,-0.5167838335037231,-200.0,-63.013315554371324,-263.01331555437156,200,0.0031873493967577815,1.2424464800542268e-07
324809751,-0.5697552561759949,-200.0,-63.77007548815554,-263.77007548815556,200,0.003413762509007938,2.3347166045573075e-07
573551451,-0.5885204076766968,-200.0,-32.403386938177675,-232.4033869381777,200,0.0030045563250314443,1.5212133201103483e-07
633918070,-0.4945049285888672,-200.0,-14.564647273677608,-214.5646472736776,200,0.0030665803159354256,1.8916719595196697e-07
1396926729,-0.46127328276634216,-200.0,5.521098355215813,-194.4789016447842,200,0.003603214795002714,1.7000174029391246e-07
111222572,-0.41222161054611206,-200.0,-37.027426877552784,-237.0274268775527,200,0.0037120730138849468,2.2276034844281867e-07
1625838119,-0.5254446268081665,-200.0,-54.442316329167454,-254.44231632916737,200,0.003813411850715056,2.1009708466079858e-07
1531287520,-0.436676561832428,-200.0,-19.21795357684353,-219.2179535768435,200,0.0038060013263020664,1.429347892800692e-07
705832102,-0.5230462551116943,-200.0,-69.47384504301785,-269.47384504301795,200,0.0039056397386593744,2.1355334725470243e-07
857455358,-0.4302942156791687,-200.0,-50.83790045890034,-250.83790045890024,200,0.0035934862663270905,1.6710317442991674e-07
210895665,-0.5661121606826782,-200.0,16.05065236333639,-183.94934763666353,200,0.003886589842149988,2.3920432923985046e-07
1113748345,-0.5755905508995056,-200.0,-52.9892529983155,-252.98925299831558,200,0.00439771537843626,1.2706859392919156e-07
1078231680,-0.5974511504173279,-200.0,-50.700096222516734,-250.70009622251678,200,0.004110295432619751,2.0594014544350613e-07
1483708620,-0.5245364904403687,-200.0,-63.69142686865068,-263.6914268686507,200,0.0036192903236951677,1.177718467126887e-07
33327356,-0.4252219796180725,-200.0,-63.622928566771435,-263.62292856677135,200,0.0035075731331016867,1.948214795133296e-07
93939939,-0.5825182199478149,-200.0,3.0471585619795922,-196.95284143802044,200,0.003496332294889726,1.8590379193828e-07
815038378,-0.4080178737640381,-200.0,-53.98064228803577,-253.98064228803565,200,0.004348183090332896,2.002822249802527e-07
559284631,-0.4486035108566284,-200.0,-62.758344652234996,-262.75834465223505,200,0.004192438635509461,1.7777035360988513e-07
245759663,-0.49594414234161377,-200.0,-64.47716794675716,-264.47716794675716,200,0.003840472878073342,1.7942468695686388e-07
899651046,-0.47498396039009094,-200.0,-42.079243137051954,-242.07924313705212,200,0.0035369428113335745,1.4581996058860013e-07
1096732699,-0.5488777756690979,-200.0,-60.22498403714924,-260.22498403714917,200,0.0036535079788882286,1.67710253321518e-07
199592811,-0.5088878273963928,-200.0,-30.77096900571936,-230.77096900571922,200,0.0035491849898244255,1.4764252029397795e-07
1492217472,-0.5178785920143127,-200.0,-47.31815054711821,-247.31815054711828,200,0.003815702570718713,2.0251936851511943e-07
176978058,-0.5248672962188721,-200.0,-58.06007785726243,-258.06007785726246,200,0.0037677594483830033,1.4418793794934715e-07
1871322556,-0.42254793643951416,-200.0,-51.062717218093255,-251.0627172180932,200,0.0036887947365175935,1.8208395913932306e-07
