seed,initial_x,reward,duration,q_update
1510822925,-0.4288688600063324,-200.0,200,-133.42949999999996
1800804221,-0.46182960271835327,-200.0,200,-119.50132976000002
733157660,-0.5460551381111145,-200.0,200,-126.42393451775034
1486376830,-0.48958948254585266,-200.0,200,-119.55209675008317
569455761,-0.47848448157310486,-200.0,200,-105.34791698371797
464047224,-0.5845364928245544,-200.0,200,-79.21828646951339
398648827,-0.564818263053894,-200.0,200,-60.41820735946979
269319999,-0.516405463218689,-200.0,200,-25.375335538371917
1410251031,-0.47985541820526123,-200.0,200,-25.839766453687304
805455164,-0.5840579271316528,-200.0,200,-24.213389229990838
385060437,-0.4160647690296173,-200.0,200,-138.61563057984893
1618963264,-0.5358961224555969,-200.0,200,-108.81667326855623
658043762,-0.4651995897293091,-200.0,200,-53.38726637877591
1578804124,-0.4438759982585907,-200.0,200,-82.03933566685494
802910613,-0.40303361415863037,-200.0,200,-72.08837736500665
886673411,-0.5985354781150818,-200.0,200,-79.67646159526176
2090835155,-0.4598831534385681,-200.0,200,-17.979299093761774
1384979568,-0.4688059687614441,-200.0,200,-45.618685630476136
450973069,-0.4844706654548645,-200.0,200,-69.725101253795
1769967402,-0.4346659779548645,-200.0,200,-92.61973574907941
796398683,-0.44174033403396606,-200.0,200,-16.151511678724788
142340928,-0.54901522397995,-200.0,200,-17.36877521659414
800775089,-0.5961355566978455,-200.0,200,-74.37128068643912
1155984513,-0.4909251928329468,-200.0,200,-75.1734478624508
1638601686,-0.4442385733127594,-200.0,200,-68.52899735759833
1623224073,-0.5805176496505737,-200.0,200,-59.27785841292417
1848091193,-0.49366477131843567,-200.0,200,-27.388399821800878
1772372138,-0.5958568453788757,-200.0,200,-36.6032644875357
1651931417,-0.5269501209259033,-200.0,200,-37.3250617664745
470541306,-0.5893571376800537,-200.0,200,-98.13239250398571
2041801120,-0.44228509068489075,-200.0,200,-91.5845231297757
1039233160,-0.433059424161911,-200.0,200,-83.47825737052969
391263579,-0.4266931116580963,-200.0,200,-38.47436520422551
786232024,-0.540599524974823,-200.0,200,-58.12807837180854
755521130,-0.5308190584182739,-200.0,200,-54.08601962890559
569832864,-0.5790649056434631,-200.0,200,-58.97780987905321
1566157937,-0.4978727400302887,-200.0,200,-68.29676891748062
1714401001,-0.5855066180229187,-200.0,200,-42.73636846761882
1259041801,-0.46551066637039185,-200.0,200,-60.334193019084616
1202928661,-0.48716872930526733,-200.0,200,-80.33554073800063
83941758,-0.4016335904598236,-200.0,200,-83.16551332191938
1207270035,-0.5696966052055359,-200.0,200,-29.056751143700776
2104074231,-0.5417332053184509,-200.0,200,-37.98180386686271
571007995,-0.49600061774253845,-200.0,200,-26.175005309513605
1002797981,-0.5156875848770142,-200.0,200,-75.7524820696256
1498847045,-0.504346489906311,-200.0,200,-41.47494467152323
688110609,-0.502812385559082,-200.0,200,-48.2071848268646
129834795,-0.4560733437538147,-200.0,200,-74.62529905905919
1894828369,-0.5454587340354919,-200.0,200,-84.92155843856295
2086558811,-0.5703030228614807,-200.0,200,-44.22750410494459
92038095,-0.5993311405181885,-200.0,200,-59.651276551840425
1075073254,-0.49707579612731934,-200.0,200,-50.13639769511623
1330608206,-0.4719296097755432,-200.0,200,-61.907813595810524
408587848,-0.44003182649612427,-200.0,200,-102.27244225907312
1488129642,-0.5801978707313538,-200.0,200,-64.50105433609046
992196690,-0.45159849524497986,-200.0,200,-44.75522898398539
225932508,-0.5731875896453857,-200.0,200,-67.46884719401521
1533346663,-0.4431684613227844,-200.0,200,-99.64033277810061
1535514477,-0.45204147696495056,-200.0,200,-102.96088136381344
1770925075,-0.5119361281394958,-200.0,200,-46.59371545349878
855647271,-0.4917655885219574,-200.0,200,-65.48861904952702
1867256356,-0.520108163356781,-200.0,200,-53.57660181525293
1109103231,-0.44823402166366577,-200.0,200,-38.43515803758225
1643025790,-0.5570180416107178,-200.0,200,-55.90247563661838
2090514604,-0.5998575091362,-200.0,200,-49.13990585084649
812684383,-0.5932641625404358,-200.0,200,-89.41260809583726
608994727,-0.4619283378124237,-200.0,200,-56.81628616117589
637592203,-0.414639413356781,-200.0,200,-90.52385669414578
285361977,-0.5159932971000671,-200.0,200,-35.034251624102374
1498516088,-0.5034575462341309,-200.0,200,-56.682171746756126
303453843,-0.5332627296447754,-200.0,200,-49.87783288057333
986317636,-0.4581024646759033,-200.0,200,-72.56398302403723
757134439,-0.5959484577178955,-200.0,200,-76.01395429782968
1155692044,-0.4679848551750183,-200.0,200,-52.80951983739629
58667841,-0.5063709616661072,-200.0,200,-31.297605050562257
1853771829,-0.401611864566803,-200.0,200,-67.1418706531787
1268825562,-0.45426586270332336,-200.0,200,-68.22546508439767
239122598,-0.5026146173477173,-200.0,200,-61.017611919077346
1358956072,-0.49475064873695374,-200.0,200,-65.23002675375032
99885430,-0.4389774799346924,-200.0,200,-67.83029259079775
1069088507,-0.5112813711166382,-200.0,200,-78.0914447731905
541401789,-0.5566922426223755,-200.0,200,-59.108262057486996
1514056689,-0.5165836811065674,-200.0,200,-59.54023135593097
856452527,-0.47975248098373413,-200.0,200,-71.35663751145599
373171755,-0.42206043004989624,-200.0,200,-61.35559731751921
636142128,-0.5244970917701721,-200.0,200,-48.92618442702128
1017015945,-0.5757132768630981,-200.0,200,-92.13463336555674
1920088641,-0.4338175356388092,-200.0,200,-59.506261884268326
1387085550,-0.4639488160610199,-200.0,200,-43.74101998974405
979020243,-0.584766685962677,-200.0,200,-64.76930803286596
407998858,-0.4232276380062103,-200.0,200,-92.58843755774045
756560302,-0.5478458404541016,-200.0,200,-59.373592199174134
1561773195,-0.4360262155532837,-200.0,200,-89.05380123220745
807211351,-0.525589108467102,-200.0,200,-50.14938156969841
1868696975,-0.4956756830215454,-200.0,200,-43.46877712532718
1310051786,-0.4211232364177704,-200.0,200,-58.63815246040883
1067933129,-0.5699737071990967,-200.0,200,-93.41694911037872
1018784645,-0.4233163595199585,-200.0,200,-78.43407243059798
686708596,-0.5355754494667053,-200.0,200,-57.52089029637413
260278783,-0.5995239615440369,-200.0,200,-54.67175230267996
439862845,-0.42426255345344543,-200.0,200,-115.41317107339535
1067509974,-0.5423276424407959,-200.0,200,-42.0921627531588
1348533811,-0.470374196767807,-200.0,200,-46.26291619762348
1598311838,-0.5533624887466431,-200.0,200,-47.6435683623829
965071403,-0.4648917615413666,-200.0,200,-48.40226428907004
1636934037,-0.5379795432090759,-200.0,200,-48.71520066990652
400312304,-0.42686671018600464,-200.0,200,-73.06859860788171
2108872023,-0.4595840573310852,-200.0,200,-84.48554400843402
470491046,-0.46070584654808044,-200.0,200,-81.77815771001009
867344024,-0.5848751664161682,-200.0,200,-78.0342688896498
712482060,-0.5085601806640625,-200.0,200,-67.77921505846648
1806857598,-0.5207587480545044,-200.0,200,-57.49343982833663
1645044972,-0.48678314685821533,-200.0,200,-87.25197875810096
1393440720,-0.5192474126815796,-200.0,200,-89.72555380171904
1359241624,-0.44991210103034973,-200.0,200,-95.81366899734816
158018460,-0.5244381427764893,-200.0,200,-75.06826397145335
1365484040,-0.5168946981430054,-200.0,200,-54.9129303295663
1484436965,-0.5362080335617065,-200.0,200,-66.67213936345111
795799664,-0.5070237517356873,-200.0,200,-56.1475449780923
2118330722,-0.5472275018692017,-200.0,200,-51.87709737836855
1579450677,-0.5447280406951904,-200.0,200,-65.6455418087076
600703193,-0.4378963112831116,-200.0,200,-106.71248108105888
417490190,-0.4319271445274353,-200.0,200,-57.965088638483294
859586530,-0.5283971428871155,-200.0,200,-34.91821166133397
429860827,-0.47703349590301514,-200.0,200,-47.03076945243525
631207823,-0.5024608373641968,-200.0,200,-73.64087315848957
2078975323,-0.43442127108573914,-200.0,200,-88.87744961696163
1558411192,-0.5705379247665405,-200.0,200,-74.45376552460537
857688148,-0.4378657639026642,-200.0,200,-70.3917807268665
1939259616,-0.510327935218811,-200.0,200,-74.8094811723794
1583720708,-0.46624016761779785,-200.0,200,-93.30093198922678
560778606,-0.506886899471283,-200.0,200,-68.24107458849599
1427180213,-0.41551870107650757,-200.0,200,-86.34626876527028
844164225,-0.4543268084526062,-200.0,200,-62.46511101928969
671760307,-0.4102967381477356,-178.0,178,-63.7740048745946
1702047233,-0.5315672159194946,-200.0,200,-67.04223849880847
739374719,-0.4506050944328308,-200.0,200,-80.84226226301098
1905996703,-0.5850052833557129,-200.0,200,-42.36404467403869
